BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2014-01-06,ְ‎נמפכמע,AFLT,4491,207610825.0,83.96,82.6,84.83,83.24,83.38,83.24,2490000,83.38,83.38,83.38,207602429.0,207602429.0,207602429.0,,3,SUR,-0.55,
TQBR,2014-01-08,ְ‎נמפכמע,AFLT,4904,195229144.0,83.7,82.81,83.85,83.4,83.25,83.41,2345100,83.25,83.25,83.25,195212404.0,195212404.0,195212404.0,,3,SUR,0.2,
TQBR,2014-01-09,ְ‎נמפכמע,AFLT,3746,230837432.0,84.3,82.83,84.82,83.0,83.9,82.9,2751400,83.9,83.9,83.9,230626682.0,230626682.0,230626682.0,,3,SUR,-0.61,
TQBR,2014-01-10,ְ‎נמפכמע,AFLT,4566,319517671.0,83.0,82.1,83.9,82.51,83.01,82.83,3849100,83.01,83.01,83.01,319492771.0,319492771.0,319492771.0,,3,SUR,-0.08,
TQBR,2014-01-13,ְ‎נמפכמע,AFLT,7264,640165555.0,83.25,82.09,99.3,87.95,86.46,87.87,7404300,86.46,86.46,86.46,640073980.0,640073980.0,640073980.0,,3,SUR,6.08,
TQBR,2014-01-14,ְ‎נמפכמע,AFLT,11627,680526450.0,87.0,83.72,88.99,84.93,86.03,84.96,7910200,86.03,86.03,86.03,679734750.0,679734750.0,679734750.0,,3,SUR,-3.31,
TQBR,2014-01-15,ְ‎נמפכמע,AFLT,6966,456702923.0,85.3,83.61,86.09,83.83,84.75,83.9,5388900,84.75,84.75,84.75,456643213.0,456643213.0,456643213.0,,3,SUR,-1.25,
TQBR,2014-01-16,ְ‎נמפכמע,AFLT,5590,347051490.0,83.5,83.4,85.43,84.65,84.29,84.8,4117300,84.29,84.29,84.29,346967990.0,346967990.0,346967990.0,,3,SUR,1.07,
TQBR,2014-01-17,ְ‎נמפכמע,AFLT,5298,306428460.0,84.8,84.0,85.19,84.24,84.42,84.25,3629900,84.42,84.42,84.42,306428460.0,306428460.0,306428460.0,,3,SUR,-0.65,
TQBR,2014-01-20,ְ‎נמפכמע,AFLT,3680,293805434.0,84.25,83.92,85.8,85.46,85.21,85.46,3448100,85.21,85.21,85.21,293805434.0,293805434.0,293805434.0,,3,SUR,1.44,
