BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2021-12-01,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-02,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-03,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-06,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-07,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-08,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-09,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-10,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-13,Лента ао,LENT,0,0.0,,,,,,,0,,,,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-14,Лента ао,LENT,17,45990.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,42,,,1095.0,0.0,0.0,0.0,0,3,SUR,,
TQBR,2021-12-15,Лента ао,LENT,152,1872199.6,1204.0,1050.0,1204.0,1150.0,1148.6,1150.0,1630,1148.6,1148.6,1150.0,1872199.6,1872199.6,1872199.6,0,3,SUR,5.02,
TQBR,2021-12-16,Лента ао,LENT,476,6031176.6,1200.0,1177.0,1264.4,1264.4,1246.4,1264.4,4839,1246.4,1246.4,1264.4,6031176.6,6031176.6,6031176.6,0,3,SUR,9.95,
TQBR,2021-12-17,Лента ао,LENT,1007,8908328.0,1299.0,1281.8,1389.6,1301.0,1351.4,1301.0,6592,1351.4,1351.4,1301.0,8908328.0,8908328.0,8908328.0,0,3,SUR,2.89,
TQBR,2021-12-20,Лента ао,LENT,1043,8845631.6,1287.8,1110.0,1320.0,1150.0,1191.2,1150.0,7426,1191.2,1191.2,1150.0,8845631.6,8845631.6,8845631.6,0,3,SUR,-11.61,
TQBR,2021-12-21,Лента ао,LENT,841,5592392.6,1182.6,1069.0,1182.6,1111.8,1124.6,1111.8,4973,1124.6,1124.6,1111.8,5592392.6,5592392.6,5592392.6,0,3,SUR,-3.32,
TQBR,2021-12-22,Лента ао,LENT,809,8069503.2,1111.6,1032.0,1112.0,1057.0,1070.0,1057.0,7541,1070.0,1070.0,1057.0,8069503.2,8069503.2,8069503.2,0,3,SUR,-4.93,
TQBR,2021-12-23,Лента ао,LENT,827,9670438.8,1050.2,1006.0,1075.6,1014.0,1029.6,1014.0,9392,1029.6,1029.6,1014.0,9670438.8,9670438.8,9670438.8,0,3,SUR,-4.07,
TQBR,2021-12-24,Лента ао,LENT,729,8150506.8,1015.8,992.0,1035.4,996.4,1000.8,997.6,8144,1000.8,1000.8,996.4,8150506.8,8150506.8,8150506.8,0,3,SUR,-1.62,
TQBR,2021-12-27,Лента ао,LENT,824,12537660.8,1012.0,996.2,1057.0,1049.2,1030.8,1049.2,12164,1030.8,1030.8,1049.2,12537660.8,12537660.8,12537660.8,0,3,SUR,5.17,
TQBR,2021-12-28,Лента ао,LENT,497,4887539.0,1040.0,1010.2,1042.0,1033.6,1035.4,1033.6,4720,1035.4,1035.4,1033.6,4887539.0,4887539.0,4887539.0,0,3,SUR,-1.49,
TQBR,2021-12-29,Лента ао,LENT,995,14261457.0,1003.0,996.2,1032.0,999.0,1002.6,999.0,14225,1002.6,1002.6,999.0,14261457.0,14261457.0,14261457.0,0,3,SUR,-3.35,
TQBR,2021-12-30,Лента ао,LENT,687,7617281.2,1029.8,995.0,1029.8,998.0,1000.0,998.0,7618,1000.0,1000.0,998.0,7617281.2,7617281.2,7617281.2,0,3,SUR,-0.1,
TQBR,2022-01-03,Лента ао,LENT,480,5220595.4,998.4,970.0,1021.4,1004.2,1000.4,1001.4,5219,1000.4,1000.4,1004.2,5220595.4,5220595.4,5220595.4,0,3,SUR,0.34,
TQBR,2022-01-04,Лента ао,LENT,474,8149704.8,1013.0,1000.0,1022.8,1020.0,1014.4,1019.8,8034,1014.4,1014.4,1020.0,8149704.8,8149704.8,8149704.8,0,3,SUR,1.84,
TQBR,2022-01-05,Лента ао,LENT,327,2146796.0,1018.0,1002.8,1026.0,1025.0,1020.4,1025.0,2104,1020.4,1020.4,1025.0,2146796.0,2146796.0,2146796.0,0,3,SUR,0.51,
TQBR,2022-01-06,Лента ао,LENT,238,2179341.8,1024.4,1010.0,1030.0,1019.6,1017.4,1019.6,2142,1017.4,1017.4,1019.6,2179341.8,2179341.8,2179341.8,0,3,SUR,-0.53,
TQBR,2022-01-07,Лента ао,LENT,0,0.0,,,,1019.6,,,0,1017.4,1017.0,1019.6,2179341.8,500325.8,2179341.8,0,3,SUR,,
TQBR,2022-01-10,Лента ао,LENT,705,11557420.2,1016.6,995.0,1036.2,999.0,1003.6,999.0,11516,1003.6,1003.6,999.0,11557420.2,11557420.2,11557420.2,0,3,SUR,-2.02,
TQBR,2022-01-11,Лента ао,LENT,269,2658922.8,1005.8,990.4,1008.8,1008.8,998.4,1008.8,2663,998.4,998.4,1008.8,2658922.8,2658922.8,2658922.8,0,3,SUR,0.98,
TQBR,2022-01-12,Лента ао,LENT,265,2228623.8,1009.2,1004.4,1014.4,1005.2,1008.4,1009.2,2210,1008.4,1008.4,1005.2,2228623.8,2228623.8,2228623.8,0,3,SUR,0.04,
TQBR,2022-01-13,Лента ао,LENT,667,10052815.2,1000.4,982.0,1014.0,982.6,997.6,982.6,10076,997.6,997.6,982.6,10052815.2,10052815.2,10052815.2,0,3,SUR,-2.64,
TQBR,2022-01-14,Лента ао,LENT,697,8195697.8,984.0,961.0,999.8,977.2,979.2,977.2,8370,979.2,979.2,977.2,8195697.8,8195697.8,8195697.8,0,3,SUR,-0.55,
TQBR,2022-01-17,Лента ао,LENT,279,5320532.0,977.4,968.2,999.0,970.2,971.6,974.2,5476,971.6,971.6,970.2,5320532.0,5320532.0,5320532.0,0,3,SUR,-0.31,
TQBR,2022-01-18,Лента ао,LENT,652,11211839.2,970.0,929.6,980.8,933.8,953.2,933.8,11763,953.2,953.2,933.8,11211839.2,11211839.2,11211839.2,0,3,SUR,-4.15,
TQBR,2022-01-19,Лента ао,LENT,446,7786482.6,933.8,918.2,966.2,940.6,929.6,940.8,8376,929.6,929.6,940.6,7786482.6,7786482.6,7786482.6,0,3,SUR,0.75,
TQBR,2022-01-20,Лента ао,LENT,358,3616623.0,990.0,925.4,990.0,958.6,952.2,958.6,3798,952.2,952.2,958.6,3616623.0,3616623.0,3616623.0,0,3,SUR,1.89,
TQBR,2022-01-21,Лента ао,LENT,823,13814624.2,971.4,894.2,971.4,919.0,916.0,919.0,15082,916.0,916.0,919.0,13814624.2,13814624.2,13814624.2,0,3,SUR,-4.13,
TQBR,2022-01-24,Лента ао,LENT,1397,20052866.4,932.8,785.2,995.0,826.4,839.8,826.8,23880,839.8,839.8,826.4,20052866.4,20052866.4,20052866.4,0,3,SUR,-10.03,
TQBR,2022-01-25,Лента ао,LENT,556,7197073.0,852.0,799.6,852.0,831.6,825.6,830.0,8717,825.6,825.6,831.6,7197073.0,7197073.0,7197073.0,0,3,SUR,0.39,
TQBR,2022-01-26,Лента ао,LENT,380,3217521.0,850.0,833.2,869.0,858.2,854.2,858.0,3767,854.2,854.2,858.2,3217521.0,3217521.0,3217521.0,0,3,SUR,3.37,
TQBR,2022-01-27,Лента ао,LENT,365,2811923.0,875.0,831.2,888.8,880.0,871.2,880.0,3228,871.2,871.2,880.0,2811923.0,2811923.0,2811923.0,0,3,SUR,2.56,
TQBR,2022-01-28,Лента ао,LENT,274,2895287.6,899.8,880.0,927.0,898.0,893.0,898.0,3242,893.0,893.0,898.0,2895287.6,2895287.6,2895287.6,0,3,SUR,2.05,
TQBR,2022-01-31,Лента ао,LENT,635,8938894.0,890.2,860.4,932.0,893.6,898.8,894.2,9945,898.8,898.8,893.6,8938894.0,8938894.0,8938894.0,0,3,SUR,-0.42,
TQBR,2022-02-01,Лента ао,LENT,287,2119434.5,910.0,894.5,910.0,907.5,905.5,907.0,2340,905.5,905.5,907.5,2119434.5,2119434.5,2119434.5,0,3,SUR,1.43,
TQBR,2022-02-02,Лента ао,LENT,299,3194356.0,910.0,897.5,919.5,904.5,904.0,905.0,3534,904.0,904.0,904.5,3194356.0,3194356.0,3194356.0,0,3,SUR,-0.22,
TQBR,2022-02-03,Лента ао,LENT,203,1839815.0,900.5,880.0,900.5,888.0,887.5,888.0,2073,887.5,887.5,888.0,1839815.0,1839815.0,1839815.0,0,3,SUR,-1.88,
TQBR,2022-02-04,Лента ао,LENT,214,1700512.0,915.0,875.0,915.0,878.5,891.5,877.5,1908,891.5,891.5,878.5,1700512.0,1700512.0,1700512.0,0,3,SUR,-1.18,
TQBR,2022-02-07,Лента ао,LENT,219,2521760.0,885.5,861.0,892.0,872.5,869.5,872.5,2900,869.5,869.5,872.5,2521760.0,2521760.0,2521760.0,0,3,SUR,-0.57,
