BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2014-01-06,ÔמסÀדנמ אמ,PHOR,1673,8964447.7,949.6,921.1,953.8,936.5,938.7,936.5,9550,938.7,938.7,938.7,8964447.7,8964447.7,8964447.7,,3,SUR,-1.42,
TQBR,2014-01-08,ÔמסÀדנמ אמ,PHOR,494,2742851.2,936.0,930.5,948.0,934.9,935.2,939.0,2933,935.2,935.2,935.2,2742851.2,2742851.2,2742851.2,,3,SUR,0.27,
TQBR,2014-01-09,ÔמסÀדנמ אמ,PHOR,456,2349415.1,930.3,927.0,936.5,933.0,930.1,932.5,2526,930.1,930.1,930.1,2349415.1,2349415.1,2349415.1,,3,SUR,-0.69,
TQBR,2014-01-10,ÔמסÀדנמ אמ,PHOR,978,5980488.0,930.2,925.0,937.0,937.0,933.1,936.8,6409,933.1,933.1,933.1,5980488.0,5980488.0,5980488.0,,3,SUR,0.46,
TQBR,2014-01-13,ÔמסÀדנמ אמ,PHOR,463,10603183.1,936.9,928.4,936.9,931.0,931.3,931.0,11385,931.3,931.3,931.3,10603183.1,10603183.1,10603183.1,,3,SUR,-0.62,
TQBR,2014-01-14,ÔמסÀדנמ אמ,PHOR,839,9129871.7,936.2,928.0,958.6,956.9,942.6,954.1,9686,942.6,942.6,942.6,9087742.7,9087742.7,9087742.7,,3,SUR,2.48,
TQBR,2014-01-15,ÔמסÀדנמ אמ,PHOR,1432,114483516.6,955.0,950.7,1017.9,1005.0,989.2,1005.0,115730,989.2,989.2,989.2,114483516.6,114483516.6,114483516.6,,3,SUR,5.33,
TQBR,2014-01-16,ÔמסÀדנמ אמ,PHOR,1053,141614486.6,1014.9,995.6,1029.0,1012.1,1015.0,1010.0,139520,1015.0,1015.0,1015.0,141614486.6,141614486.6,141614486.6,,3,SUR,0.5,
TQBR,2014-01-17,ÔמסÀדנמ אמ,PHOR,835,20975772.2,1017.0,977.5,1029.9,1011.2,1016.8,1012.3,20630,1016.8,1016.8,1016.8,20975772.2,20975772.2,20975772.2,,3,SUR,0.23,
TQBR,2014-01-20,ÔמסÀדנמ אמ,PHOR,745,20025936.0,1012.7,1012.7,1048.9,1044.7,1034.1,1040.0,19365,1034.1,1034.1,1034.1,20024923.3,20024923.3,20024923.3,,3,SUR,2.74,
TQBR,2014-01-21,ÔמסÀדנמ אמ,PHOR,725,28107798.1,1040.3,1033.6,1089.9,1083.0,1066.0,1080.1,26368,1066.0,1066.0,1066.0,28105717.5,28105717.5,28105717.5,,3,SUR,3.86,
TQBR,2014-01-22,ÔמסÀדנמ אמ,PHOR,967,53429532.7,1086.4,1063.1,1098.0,1090.0,1080.2,1085.6,49461,1080.2,1080.2,1080.2,53429532.7,53429532.7,53429532.7,,3,SUR,0.51,
TQBR,2014-01-23,ÔמסÀדנמ אמ,PHOR,1172,46135783.2,1085.6,1080.0,1118.0,1090.0,1102.9,1085.0,41830,1102.9,1102.9,1102.9,46135783.2,46135783.2,46135783.2,,3,SUR,-0.06,
TQBR,2014-01-24,ÔמסÀדנמ אמ,PHOR,499,11269418.5,1081.8,1080.8,1130.0,1111.3,1106.5,1114.0,10185,1106.5,1106.5,1106.5,11269418.5,11269418.5,11269418.5,,3,SUR,2.67,
TQBR,2014-01-27,ÔמסÀדנמ אמ,PHOR,743,17220737.4,1119.1,1079.9,1119.1,1089.6,1092.5,1090.1,15762,1092.5,1092.5,1092.5,17218499.2,17218499.2,17218499.2,,3,SUR,-2.15,
TQBR,2014-01-28,ÔמסÀדנמ אמ,PHOR,933,7753515.4,1094.5,1080.0,1109.8,1095.4,1095.0,1092.4,7081,1095.0,1095.0,1095.0,7753515.4,7753515.4,7753515.4,,3,SUR,0.21,
TQBR,2014-01-29,ÔמסÀדנמ אמ,PHOR,2320,48156069.5,1099.9,1075.5,1149.0,1082.9,1115.8,1089.8,43159,1115.8,1115.8,1115.8,48156069.5,48156069.5,48156069.5,,3,SUR,-0.24,
TQBR,2014-01-30,ÔמסÀדנמ אמ,PHOR,1030,26285024.1,1089.9,1045.0,1097.0,1057.9,1083.4,1056.2,24262,1083.4,1083.4,1083.4,26285024.1,26285024.1,26285024.1,,3,SUR,-3.08,
TQBR,2014-01-31,ÔמסÀדנמ אמ,PHOR,1253,26706594.2,1060.3,1058.7,1109.0,1072.6,1075.8,1070.0,24825,1075.8,1075.8,1075.8,26706594.2,26706594.2,26706594.2,,3,SUR,1.31,
