BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-01-09, ÷ » — 5,X5,210295,18605876495.5,2690.0,2670.0,3000.0,2803.0,2789.5,2803.0,6661057,2793.0,2793.0,,18605876495.5,18605876495.5,,0,3,SUR,,
TQBR,2025-01-10, ÷ » — 5,X5,110337,9928853671.0,2800.0,2783.0,2975.0,2945.0,2874.5,2945.0,3454995,2874.0,2874.0,,9928853671.0,9928853671.0,,0,3,SUR,5.07,
TQBR,2025-01-13, ÷ » — 5,X5,68495,6277932539.5,2962.0,2882.0,2999.5,2905.0,2962.0,2905.0,2120539,2960.5,2960.5,,6277932539.5,6277932539.5,,0,3,SUR,-1.36,
TQBR,2025-01-14, ÷ » — 5,X5,29321,2655837357.5,2920.0,2884.0,2933.0,2929.0,2915.0,2929.0,911219,2914.5,2914.5,,2655837357.5,2655837357.5,,0,3,SUR,0.83,
TQBR,2025-01-15, ÷ » — 5,X5,50353,2024350049.5,2936.5,2891.0,2949.5,2904.5,2914.0,2904.5,694614,2914.5,2914.5,,2024350049.5,2024350049.5,,0,3,SUR,-0.84,
TQBR,2025-01-16, ÷ » — 5,X5,86134,3745089026.5,2905.0,2883.0,2948.0,2910.0,2919.5,2910.0,1282730,2919.5,2919.5,,3745089026.5,3745089026.5,,0,3,SUR,0.19,
TQBR,2025-01-17, ÷ » — 5,X5,44253,3359704639.0,2905.0,2858.5,2911.5,2898.0,2892.0,2898.0,1161953,2891.5,2891.5,,3359704639.0,3359704639.0,,0,3,SUR,-0.41,
TQBR,2025-01-20, ÷ » — 5,X5,48141,2564986489.0,2900.5,2866.0,2914.5,2866.0,2896.0,2866.0,885908,2895.5,2895.5,,2564986489.0,2564986489.0,,0,3,SUR,-1.1,
TQBR,2025-01-21, ÷ » — 5,X5,83762,4062827824.5,2885.0,2837.0,2935.0,2930.0,2888.5,2930.0,1407145,2887.5,2887.5,,4062827824.5,4062827824.5,,0,3,SUR,2.23,
TQBR,2025-01-22, ÷ » — 5,X5,37359,2517489394.0,2933.0,2908.0,2947.0,2914.0,2925.5,2914.0,860496,2925.5,2925.5,,2517489394.0,2517489394.0,,0,3,SUR,-0.55,
TQBR,2025-01-23, ÷ » — 5,X5,20417,1820780497.0,2913.5,2886.0,2914.0,2900.0,2904.5,2900.0,626933,2904.5,2904.5,,1820780497.0,1820780497.0,,0,3,SUR,-0.48,
TQBR,2025-01-24, ÷ » — 5,X5,28438,2286813252.0,2912.0,2897.0,2919.0,2907.5,2907.5,2909.5,786697,2906.5,2906.5,,2125211563.0,2125211563.0,,0,3,SUR,0.33,
TQBR,2025-01-27, ÷ » — 5,X5,39646,2980611594.5,2911.0,2892.5,2950.0,2927.0,2928.0,2919.5,1017938,2928.5,2928.5,,2725167210.0,2725167210.0,,0,3,SUR,0.34,
TQBR,2025-01-28, ÷ » — 5,X5,107687,10945882636.5,2921.0,2911.0,3145.0,3078.0,3030.0,3130.5,3609641,3020.5,3020.5,,9400158517.0,9400158517.0,,0,3,SUR,7.23,
TQBR,2025-01-29, ÷ » — 5,X5,76662,6502730682.0,3132.0,3085.0,3190.0,3177.0,3153.0,3169.0,2062314,3150.5,3150.5,,5272804500.5,5272804500.5,,0,3,SUR,1.23,
TQBR,2025-01-30, ÷ » — 5,X5,79306,9361568823.0,3169.0,3166.0,3298.0,3260.0,3235.0,3259.0,2894288,3233.5,3233.5,,8627956631.5,8627956631.5,,0,3,SUR,2.84,
TQBR,2025-01-31, ÷ » — 5,X5,60663,5050480704.0,3261.0,3192.5,3294.0,3232.0,3236.0,3232.0,1560315,3234.0,3234.0,,4414225444.5,4414225444.5,,0,3,SUR,-0.83,
TQBR,2025-02-03, ÷ » — 5,X5,45119,3294016575.5,3232.5,3172.5,3274.0,3248.0,3246.0,3240.0,1014890,3250.0,3250.0,,2832346967.5,2832346967.5,,0,3,SUR,0.25,
TQBR,2025-02-04, ÷ » — 5,X5,39514,4163927380.0,3241.0,3226.5,3291.5,3266.5,3263.5,3268.5,1275542,3264.5,3264.5,,3663794761.5,3663794761.5,,0,3,SUR,0.88,
TQBR,2025-02-05, ÷ » — 5,X5,42797,4168599512.0,3267.0,3241.5,3305.0,3262.5,3266.5,3276.5,1275707,3266.5,3266.5,,3423686631.5,3423686631.5,,0,3,SUR,0.24,
TQBR,2025-02-06, ÷ » — 5,X5,45666,3657438042.5,3283.0,3234.5,3295.0,3277.5,3261.0,3264.5,1121689,3259.5,3259.5,,3384979996.0,3384979996.0,,0,3,SUR,-0.37,
